Question,Answer
"What is UC doing in response to the college admissions fraud investigation?","UC initiated a comprehensive, systemwide audit as soon as we became aware of individuals exploiting the admissions process across universities nationwide. This audit by Ethics, Compliance and Audit Services (ECAS) — the independent audit and investigative arm of UC that reports directly to the University of California Board of Regents — is helping guide significant enhancements to our admissions procedures. Additionally, UC is continuing to collaborate closely with federal and state authorities on any ongoing investigations. We will stay proactive, transparent and accountable — and keep the public, the UC community and others apprised of our steadfast efforts in this matter."
"Does UC give preference to students whose family members attended UC?","No. As a public institution, and according to long-established UC admissions policy, we do not grant preferential admission to the children of alumni or donors."
"Do donations to UC affect a student’s chances for admission?","No, we prohibit this practice per our longstanding UC Board of Regents policy: “Admissions motivated by concern for financial, political or other such benefit to the University do not have a place in the admissions process.” As a public institution, and according to long-established UC admissions policy, we do not grant preferential admission to the children of alumni or donors."
"What happens to students who were admitted under false pretenses?","Current UC practices dictate that all applicants abide by the Statement of Integrity. If a student is alleged to have falsified information in their application, the student will undergo a thorough review. Under university policy, failure of a student to submit accurate information will jeopardize consideration for admission to UC for the current or any future terms. UC has taken, and will continue to take, appropriate action in response to substantiated admissions fraud. This includes revocation of admission. The Family Education Rights and Privacy Act (FERPA) is a federal law that protects the privacy of student education records, and prohibits the university from discussing any individual student’s academic standing or any investigations. UC is not permitted to disclose the identity of any students involved in the admissions fraud investigation, nor discuss actions or decisions involving a specific student."
"What happens if UC staff or faculty are implicated in the federal investigation, or any other?","We impose appropriate discipline for all individuals found culpable. UC will take appropriate action if any of our employees are implicated in the admissions investigation. Any individual involved will undergo a thorough review, which could result in disciplinary action, including dismissal, if allegations are substantiated."
"How does the athletic recruitment process work?","Student-athletes submit the same admission application and receive a comprehensive review like all other students. The same general standards for admission developed by the campus Academic Senate committees are applied to both student-athletes and the general applicant pool. Student-athletes undergo additional consideration by faculty and admissions staff to ensure they will be able to succeed academically and graduate in a timely manner."
"Is UC getting rid of its admissions requirement for standardized testing?","In July 2018, President Napolitano requested that UC’s Academic Senate conduct a formal review based on factual, historical data to determine whether SAT and ACT tests are useful measures of academic performance for the admissions process. The Senate has since established a Task Force and the university is currently waiting for the assessment and recommendations from this group before UC determines whether any steps should be taken on this important issue."
"How do you ensure that students are not lying on their application?","Current UC practices dictate that all applicants abide by the Statement of Integrity. We verify the accuracy of a student’s academic record with certified transcripts and test score reports. We also select random applications from the applicant pool each year for verification of applicants’ activities and achievements outside of the classroom through requests for documentation. We understand that not every process is perfect. We are constantly reviewing our current practices, and always looking for ways to improve them."
"The recent national investigation raised concerns that the college admissions processes nationwide generally limit access to students with fewer resources or means. What is UC doing to provide for those students?","UC is committed to a fair and transparent admissions process that is based on student merit and achievement and represents a level playing field for every applicant. UC attracts the best and brightest and prides itself in being a university of trailblazers, admitting thousands of students seeking to be the first in their families to attend a UC or earn a degree. In fact, over 40 percent of UC undergraduates will be the first generation in their family to graduate from college, and UC educates more first-generation students than other institutions of its caliber. Nearly half of UC first-generation students are African American, Latino/Chicano, or American Indian, and 39 percent speak English as their second language. Additionally, the university offers one of the nation’s strongest financial aid programs, awarding $1.64 billion in university financial aid to students, and 57 percent of California undergraduates have their tuition fully covered. In recent years, UC resident tuition and fees as well as total costs have remained relatively flat, as UC works to maintain its ongoing commitment to keeping college affordable. The university also works to engage future students through our early outreach programs, designed to prepare disadvantaged K-12 Californian students for higher education. These programs strive to make college and the application process less daunting, and currently UC has over 1,400 K-12 school partnerships, which help 70 percent of their participants go on to college. UC plays a role in the education of millions of California K-12 students, whether or not they are UC-bound."
"How will UC prevent these problems from happening again?","Our investigation of possible wrongdoing will not only help us find any improper or illegal activity, but may identify gaps in our processes that need to be addressed. Our own diligent efforts, and the outcome of investigations by law-enforcement agencies, will help ensure that these activities are prevented in the future. In addition, the University of California has identified clear and concrete steps that will improve the entire admissions process through our internal audit that included an exhaustive review of campus practices."
